source,target
CHEMBL216903,CHEMBL415825
CHEMBL216903,CHEMBL266194
CHEMBL216903,CHEMBL428007
CHEMBL216903,CHEMBL135968
CHEMBL216903,CHEMBL412828
CHEMBL216903,CHEMBL435597
CHEMBL216903,CHEMBL428269
CHEMBL216903,CHEMBL35927
CHEMBL216903,CHEMBL438013
CHEMBL216903,CHEMBL216581
CHEMBL216903,CHEMBL266310
CHEMBL216903,CHEMBL264588
CHEMBL216903,CHEMBL135547
CHEMBL216903,CHEMBL335277
CHEMBL216903,CHEMBL263431
CHEMBL216903,CHEMBL411080
CHEMBL216903,CHEMBL406209
CHEMBL216903,CHEMBL217267
CHEMBL216903,CHEMBL2443369
CHEMBL216903,CHEMBL37205
CHEMBL216903,CHEMBL39728
CHEMBL216903,CHEMBL1790988
CHEMBL216903,CHEMBL389831
CHEMBL216903,CHEMBL89773
CHEMBL216903,CHEMBL137131
CHEMBL216903,CHEMBL137614
CHEMBL216903,CHEMBL2370094
CHEMBL216903,CHEMBL434943
CHEMBL216903,CHEMBL262792
CHEMBL216903,CHEMBL37694
CHEMBL216903,CHEMBL290156
CHEMBL216903,CHEMBL2370116
CHEMBL216903,CHEMBL137755
CHEMBL216903,CHEMBL287127
CHEMBL216903,CHEMBL291048
CHEMBL216903,CHEMBL288556
CHEMBL216903,CHEMBL384606
CHEMBL216903,CHEMBL1927636
CHEMBL216903,CHEMBL408272
CHEMBL216903,CHEMBL266307
CHEMBL216903,CHEMBL288120
CHEMBL216903,CHEMBL39360
CHEMBL216903,CHEMBL291220
CHEMBL216903,CHEMBL265287
CHEMBL216903,CHEMBL290127
CHEMBL216903,CHEMBL291000
CHEMBL216903,CHEMBL2370117
CHEMBL263435,CHEMBL406146
CHEMBL263435,CHEMBL405679
CHEMBL263435,CHEMBL137131
CHEMBL263435,CHEMBL216568
CHEMBL263435,CHEMBL415825
CHEMBL263435,CHEMBL266194
CHEMBL263435,CHEMBL428269
CHEMBL263435,CHEMBL35927
CHEMBL263435,CHEMBL438013
CHEMBL263435,CHEMBL266310
CHEMBL263435,CHEMBL264588
CHEMBL263435,CHEMBL135547
CHEMBL263435,CHEMBL239383
CHEMBL263435,CHEMBL335277
CHEMBL263435,CHEMBL263431
CHEMBL263435,CHEMBL411080
CHEMBL263435,CHEMBL406209
CHEMBL263435,CHEMBL217267
CHEMBL263435,CHEMBL37205
CHEMBL263435,CHEMBL39728
CHEMBL263435,CHEMBL1790988
CHEMBL263435,CHEMBL242323
CHEMBL263435,CHEMBL389831
CHEMBL263435,CHEMBL262792
CHEMBL263435,CHEMBL37694
CHEMBL263435,CHEMBL290156
CHEMBL263435,CHEMBL137755
CHEMBL263435,CHEMBL134730
CHEMBL263435,CHEMBL287127
CHEMBL263435,CHEMBL291048
CHEMBL263435,CHEMBL288556
CHEMBL263435,CHEMBL384606
CHEMBL263435,CHEMBL1927636
CHEMBL263435,CHEMBL408272
CHEMBL263435,CHEMBL266307
CHEMBL263435,CHEMBL288120
CHEMBL263435,CHEMBL39360
CHEMBL263435,CHEMBL291220
CHEMBL263435,CHEMBL265287
CHEMBL263435,CHEMBL290127
CHEMBL263435,CHEMBL291000
CHEMBL263435,CHEMBL428007
CHEMBL263435,CHEMBL135968
CHEMBL263435,CHEMBL412828
CHEMBL263435,CHEMBL435597
CHEMBL263435,CHEMBL216581
CHEMBL263435,CHEMBL335837
CHEMBL2370094,CHEMBL406146
CHEMBL2370094,CHEMBL415825
CHEMBL2370094,CHEMBL266194
CHEMBL2370094,CHEMBL428007
CHEMBL2370094,CHEMBL135968
CHEMBL2370094,CHEMBL412828
CHEMBL2370094,CHEMBL435597
CHEMBL2370094,CHEMBL438013
CHEMBL2370094,CHEMBL266310
CHEMBL2370094,CHEMBL264588
CHEMBL2370094,CHEMBL135547
CHEMBL2370094,CHEMBL335277
CHEMBL2370094,CHEMBL411080
CHEMBL2370094,CHEMBL406209
CHEMBL2370094,CHEMBL2370116
CHEMBL2370094,CHEMBL137755
CHEMBL2370094,CHEMBL2370117
CHEMBL2370094,CHEMBL1927636
CHEMBL2370094,CHEMBL291000
CHEMBL2370094,CHEMBL89773
CHEMBL2370094,CHEMBL137131
CHEMBL2370094,CHEMBL137614
CHEMBL2370094,CHEMBL315706
CHEMBL315706,CHEMBL266310
CHEMBL315706,CHEMBL2370116
CHEMBL315706,CHEMBL137755
CHEMBL315706,CHEMBL2370117
CHEMBL315706,CHEMBL89773
CHEMBL315706,CHEMBL137131
CHEMBL315706,CHEMBL137614
CHEMBL39728,CHEMBL406146
CHEMBL39728,CHEMBL405679
CHEMBL39728,CHEMBL216568
CHEMBL39728,CHEMBL266194
CHEMBL39728,CHEMBL428007
CHEMBL39728,CHEMBL412828
CHEMBL39728,CHEMBL435597
CHEMBL39728,CHEMBL428269
CHEMBL39728,CHEMBL35927
CHEMBL39728,CHEMBL438013
CHEMBL39728,CHEMBL216581
CHEMBL39728,CHEMBL266310
CHEMBL39728,CHEMBL135547
CHEMBL39728,CHEMBL263431
CHEMBL39728,CHEMBL406209
CHEMBL39728,CHEMBL217267
CHEMBL39728,CHEMBL37205
CHEMBL39728,CHEMBL1790988
CHEMBL39728,CHEMBL37694
CHEMBL39728,CHEMBL290156
CHEMBL39728,CHEMBL287127
CHEMBL39728,CHEMBL291048
CHEMBL39728,CHEMBL288556
CHEMBL39728,CHEMBL384606
CHEMBL39728,CHEMBL288120
CHEMBL39728,CHEMBL39360
CHEMBL39728,CHEMBL291220
CHEMBL39728,CHEMBL265287
CHEMBL39728,CHEMBL290127
CHEMBL39728,CHEMBL291000
CHEMBL290156,CHEMBL406146
CHEMBL290156,CHEMBL405679
CHEMBL290156,CHEMBL216568
CHEMBL290156,CHEMBL415825
CHEMBL290156,CHEMBL266194
CHEMBL290156,CHEMBL428007
CHEMBL290156,CHEMBL135968
CHEMBL290156,CHEMBL412828
CHEMBL290156,CHEMBL435597
CHEMBL290156,CHEMBL428269
CHEMBL290156,CHEMBL35927
CHEMBL290156,CHEMBL438013
CHEMBL290156,CHEMBL216581
CHEMBL290156,CHEMBL266310
CHEMBL290156,CHEMBL135547
CHEMBL290156,CHEMBL263431
CHEMBL290156,CHEMBL406209
CHEMBL290156,CHEMBL217267
CHEMBL290156,CHEMBL37205
CHEMBL290156,CHEMBL1790988
CHEMBL290156,CHEMBL262792
CHEMBL290156,CHEMBL37694
CHEMBL290156,CHEMBL416054
CHEMBL290156,CHEMBL287127
CHEMBL290156,CHEMBL291048
CHEMBL290156,CHEMBL288556
CHEMBL290156,CHEMBL384606
CHEMBL290156,CHEMBL408272
CHEMBL290156,CHEMBL288120
CHEMBL290156,CHEMBL265287
CHEMBL290156,CHEMBL290127
CHEMBL290156,CHEMBL291000
CHEMBL265287,CHEMBL406146
CHEMBL265287,CHEMBL405679
CHEMBL265287,CHEMBL216568
CHEMBL265287,CHEMBL415825
CHEMBL265287,CHEMBL266194
CHEMBL265287,CHEMBL428007
CHEMBL265287,CHEMBL135968
CHEMBL265287,CHEMBL412828
CHEMBL265287,CHEMBL435597
CHEMBL265287,CHEMBL428269
CHEMBL265287,CHEMBL35927
CHEMBL265287,CHEMBL438013
CHEMBL265287,CHEMBL216581
CHEMBL265287,CHEMBL266310
CHEMBL265287,CHEMBL239383
CHEMBL265287,CHEMBL263431
CHEMBL265287,CHEMBL406209
CHEMBL265287,CHEMBL217267
CHEMBL265287,CHEMBL37205
CHEMBL265287,CHEMBL1790988
CHEMBL265287,CHEMBL262792
CHEMBL265287,CHEMBL134730
CHEMBL265287,CHEMBL287127
CHEMBL265287,CHEMBL291048
CHEMBL265287,CHEMBL288556
CHEMBL265287,CHEMBL384606
CHEMBL265287,CHEMBL408272
CHEMBL265287,CHEMBL266307
CHEMBL265287,CHEMBL288120
CHEMBL265287,CHEMBL335837
CHEMBL265287,CHEMBL291220
CHEMBL265287,CHEMBL4249834
CHEMBL265287,CHEMBL290127
CHEMBL265287,CHEMBL291000
CHEMBL434943,CHEMBL464758
CHEMBL434943,CHEMBL1927635
CHEMBL434943,CHEMBL406146
CHEMBL434943,CHEMBL266194
CHEMBL434943,CHEMBL428007
CHEMBL434943,CHEMBL412828
CHEMBL434943,CHEMBL435597
CHEMBL434943,CHEMBL428269
CHEMBL434943,CHEMBL266310
CHEMBL434943,CHEMBL135547
CHEMBL434943,CHEMBL335277
CHEMBL434943,CHEMBL406209
CHEMBL434943,CHEMBL2443369
CHEMBL434943,CHEMBL2370116
CHEMBL434943,CHEMBL137755
CHEMBL434943,CHEMBL134730
CHEMBL434943,CHEMBL2370117
CHEMBL434943,CHEMBL1927636
CHEMBL434943,CHEMBL335837
CHEMBL434943,CHEMBL89773
CHEMBL434943,CHEMBL137131
CHEMBL434943,CHEMBL2204316
CHEMBL434943,CHEMBL137614
CHEMBL291220,CHEMBL406146
CHEMBL291220,CHEMBL405679
CHEMBL291220,CHEMBL216568
CHEMBL291220,CHEMBL415825
CHEMBL291220,CHEMBL266194
CHEMBL291220,CHEMBL428007
CHEMBL291220,CHEMBL135968
CHEMBL291220,CHEMBL412828
CHEMBL291220,CHEMBL435597
CHEMBL291220,CHEMBL428269
CHEMBL291220,CHEMBL35927
CHEMBL291220,CHEMBL438013
CHEMBL291220,CHEMBL216581
CHEMBL291220,CHEMBL266310
CHEMBL291220,CHEMBL264588
CHEMBL291220,CHEMBL135547
CHEMBL291220,CHEMBL335277
CHEMBL291220,CHEMBL263431
CHEMBL291220,CHEMBL406209
CHEMBL291220,CHEMBL217267
CHEMBL291220,CHEMBL37205
CHEMBL291220,CHEMBL1790988
CHEMBL291220,CHEMBL262792
CHEMBL291220,CHEMBL37694
CHEMBL291220,CHEMBL287127
CHEMBL291220,CHEMBL291048
CHEMBL291220,CHEMBL288556
CHEMBL291220,CHEMBL384606
CHEMBL291220,CHEMBL408272
CHEMBL291220,CHEMBL266307
CHEMBL291220,CHEMBL288120
CHEMBL291220,CHEMBL39360
CHEMBL291220,CHEMBL290127
CHEMBL291220,CHEMBL291000
CHEMBL291048,CHEMBL406146
CHEMBL291048,CHEMBL405679
CHEMBL291048,CHEMBL216568
CHEMBL291048,CHEMBL415825
CHEMBL291048,CHEMBL266194
CHEMBL291048,CHEMBL428007
CHEMBL291048,CHEMBL135968
CHEMBL291048,CHEMBL412828
CHEMBL291048,CHEMBL435597
CHEMBL291048,CHEMBL428269
CHEMBL291048,CHEMBL35927
CHEMBL291048,CHEMBL438013
CHEMBL291048,CHEMBL216581
CHEMBL291048,CHEMBL266310
CHEMBL291048,CHEMBL264588
CHEMBL291048,CHEMBL135547
CHEMBL291048,CHEMBL239383
CHEMBL291048,CHEMBL335277
CHEMBL291048,CHEMBL263431
CHEMBL291048,CHEMBL411080
CHEMBL291048,CHEMBL406209
CHEMBL291048,CHEMBL217267
CHEMBL291048,CHEMBL37205
CHEMBL291048,CHEMBL1790988
CHEMBL291048,CHEMBL262792
CHEMBL291048,CHEMBL37694
CHEMBL291048,CHEMBL137755
CHEMBL291048,CHEMBL287127
CHEMBL291048,CHEMBL288556
CHEMBL291048,CHEMBL384606
CHEMBL291048,CHEMBL408272
CHEMBL291048,CHEMBL266307
CHEMBL291048,CHEMBL288120
CHEMBL291048,CHEMBL39360
CHEMBL291048,CHEMBL290127
CHEMBL291048,CHEMBL291000
CHEMBL2370117,CHEMBL89773
CHEMBL2370117,CHEMBL137131
CHEMBL2370117,CHEMBL137614
CHEMBL2370117,CHEMBL464758
CHEMBL2370117,CHEMBL406146
CHEMBL2370117,CHEMBL405679
CHEMBL2370117,CHEMBL415825
CHEMBL2370117,CHEMBL266194
CHEMBL2370117,CHEMBL438013
CHEMBL2370117,CHEMBL266310
CHEMBL2370117,CHEMBL264588
CHEMBL2370117,CHEMBL135547
CHEMBL2370117,CHEMBL335277
CHEMBL2370117,CHEMBL263431
CHEMBL2370117,CHEMBL411080
CHEMBL2370117,CHEMBL406209
CHEMBL2370117,CHEMBL217267
CHEMBL2370117,CHEMBL389831
CHEMBL2370117,CHEMBL262792
CHEMBL2370117,CHEMBL137755
CHEMBL2370117,CHEMBL1927636
CHEMBL389831,CHEMBL406146
CHEMBL389831,CHEMBL405679
CHEMBL389831,CHEMBL216568
CHEMBL389831,CHEMBL266194
CHEMBL389831,CHEMBL428007
CHEMBL389831,CHEMBL412828
CHEMBL389831,CHEMBL435597
CHEMBL389831,CHEMBL438013
CHEMBL389831,CHEMBL216581
CHEMBL389831,CHEMBL266310
CHEMBL389831,CHEMBL135547
CHEMBL389831,CHEMBL263431
CHEMBL389831,CHEMBL217267
CHEMBL389831,CHEMBL2443369
CHEMBL389831,CHEMBL242323
CHEMBL389831,CHEMBL242315
CHEMBL389831,CHEMBL538647
CHEMBL389831,CHEMBL37694
CHEMBL389831,CHEMBL2370116
CHEMBL438013,CHEMBL406146
CHEMBL438013,CHEMBL405679
CHEMBL438013,CHEMBL216568
CHEMBL438013,CHEMBL415825
CHEMBL438013,CHEMBL266194
CHEMBL438013,CHEMBL428007
CHEMBL438013,CHEMBL135968
CHEMBL438013,CHEMBL412828
CHEMBL438013,CHEMBL435597
CHEMBL438013,CHEMBL428269
CHEMBL438013,CHEMBL35927
CHEMBL438013,CHEMBL89773
CHEMBL438013,CHEMBL416054
CHEMBL438013,CHEMBL266310
CHEMBL438013,CHEMBL264588
CHEMBL438013,CHEMBL135547
CHEMBL438013,CHEMBL335277
CHEMBL438013,CHEMBL263431
