source,target
CHEMBL225326,CHEMBL223443
CHEMBL225326,CHEMBL225021
CHEMBL225326,CHEMBL225198
CHEMBL3327247,CHEMBL3326699
CHEMBL3327247,CHEMBL3326698
CHEMBL3327247,CHEMBL3326703
CHEMBL521935,CHEMBL445454
CHEMBL521935,CHEMBL490060
CHEMBL521935,CHEMBL489454
CHEMBL521935,CHEMBL338755
CHEMBL3326698,CHEMBL3326699
CHEMBL3326698,CHEMBL3326701
CHEMBL3326698,CHEMBL451304
CHEMBL3326698,CHEMBL3326707
CHEMBL3326698,CHEMBL3326703
CHEMBL3326698,CHEMBL3326706
CHEMBL3326698,CHEMBL3326705
CHEMBL3326698,CHEMBL3327246
CHEMBL3326698,CHEMBL3326709
CHEMBL3099496,CHEMBL445454
CHEMBL397271,CHEMBL504571
CHEMBL397271,CHEMBL525917
CHEMBL382423,CHEMBL208092
CHEMBL3327246,CHEMBL3326699
CHEMBL3327246,CHEMBL3326701
CHEMBL3327246,CHEMBL3326703
CHEMBL225198,CHEMBL223443
CHEMBL225198,CHEMBL525917
CHEMBL225198,CHEMBL225021
CHEMBL2064464,CHEMBL2064466
CHEMBL2064464,CHEMBL2064465
CHEMBL3326699,CHEMBL3326701
CHEMBL3326699,CHEMBL3326703
CHEMBL3326699,CHEMBL3326707
CHEMBL3326699,CHEMBL3326706
CHEMBL3326699,CHEMBL3326709
CHEMBL490060,CHEMBL2064470
CHEMBL490060,CHEMBL499224
CHEMBL490060,CHEMBL445454
CHEMBL490060,CHEMBL451304
CHEMBL490060,CHEMBL489454
CHEMBL490060,CHEMBL338755
CHEMBL3326705,CHEMBL3326701
CHEMBL3326705,CHEMBL3326703
CHEMBL451304,CHEMBL499224
CHEMBL451304,CHEMBL445454
CHEMBL451304,CHEMBL489454
CHEMBL451304,CHEMBL338755
CHEMBL502244,CHEMBL504571
CHEMBL502244,CHEMBL525917
CHEMBL225567,CHEMBL223443
CHEMBL225567,CHEMBL525917
CHEMBL225567,CHEMBL225021
CHEMBL2064470,CHEMBL2064466
CHEMBL2064470,CHEMBL499224
CHEMBL2064470,CHEMBL445454
CHEMBL2064470,CHEMBL489454
CHEMBL2064470,CHEMBL338755
CHEMBL445454,CHEMBL499224
CHEMBL445454,CHEMBL2064466
CHEMBL445454,CHEMBL489454
CHEMBL445454,CHEMBL338755
CHEMBL3326707,CHEMBL3326703
CHEMBL225021,CHEMBL223443
CHEMBL225021,CHEMBL525917
CHEMBL223443,CHEMBL525917
CHEMBL2064465,CHEMBL2064466
CHEMBL338755,CHEMBL499224
CHEMBL338755,CHEMBL489454
CHEMBL3326703,CHEMBL3326701
CHEMBL3326703,CHEMBL3326706
CHEMBL499224,CHEMBL489454
CHEMBL3326701,CHEMBL3326706
CHEMBL3326701,CHEMBL3326709
